"","date","team","conf","opp","opp_conf","location","result","score","wab","quad"
"1",2023-11-06,"Abilene Christian","WAC","Oklahoma St.","B12","Away","W","64-59",0.45131593278665,"Quadrant 2"
"2",2023-11-06,"Oklahoma St.","B12","Abilene Christian","WAC","Home","L","64-59",-0.947788385259878,"Quadrant 4"
"3",2023-11-06,"Akron","MAC","South Dakota St.","Sum","Away","W","81-75",0.260584470400801,"Quadrant 3"
"4",2023-11-06,"South Dakota St.","Sum","Akron","MAC","Home","L","81-75",-0.826069632970646,"Quadrant 3"
"5",2023-11-06,"Alabama St.","SWAC","Mississippi","SEC","Away","L","69-59",-0.386207101675615,"Quadrant 1"
"6",2023-11-06,"Mississippi","SEC","Alabama St.","SWAC","Home","W","69-59",0.026308463667771,"Quadrant 4"
"7",2023-11-06,"Alcorn St.","SWAC","Arkansas","SEC","Away","L","93-59",-0.620230842643847,"Quadrant 2"
"8",2023-11-06,"Arkansas","SEC","Alcorn St.","SWAC","Home","W","93-59",0.030727031753191,"Quadrant 4"
"9",2023-11-06,"American","Pat","Villanova","BE","Away","L","90-63",-0.291130517376547,"Quadrant 1"
"10",2023-11-06,"Villanova","BE","American","Pat","Home","W","90-63",0.0423715795472859,"Quadrant 4"
"11",2023-11-06,"Arkansas Pine Bluff","SWAC","Missouri","SEC","Away","L","101-79",-0.661798108925311,"Quadrant 3"
"12",2023-11-06,"Missouri","SEC","Arkansas Pine Bluff","SWAC","Home","W","101-79",0.0166500563773949,"Quadrant 4"
"13",2023-11-06,"Arkansas St.","SB","Wisconsin","B10","Away","L","105-76",-0.250958426771224,"Quadrant 1"
"14",2023-11-06,"Wisconsin","B10","Arkansas St.","SB","Home","W","105-76",0.105774822984435,"Quadrant 3"
"15",2023-11-06,"Bellarmine","ASun","Washington","P12","Away","L","91-57",-0.416164587117135,"Quadrant 1"
"16",2023-11-06,"Washington","P12","Bellarmine","ASun","Home","W","91-57",0.0284920745687628,"Quadrant 4"
"17",2023-11-06,"Bethune Cookman","SWAC","Minnesota","B10","Away","L","80-60",-0.458059473808293,"Quadrant 2"
"18",2023-11-06,"Minnesota","B10","Bethune Cookman","SWAC","Home","W","80-60",0.0247420992966855,"Quadrant 4"
"19",2023-11-06,"Binghamton","AE","Northwestern","B10","Away","L","72-61",-0.322131045768594,"Quadrant 1"
"20",2023-11-06,"Northwestern","B10","Binghamton","AE","Home","W","72-61",0.036460932223613,"Quadrant 4"
"21",2023-11-06,"Boston University","Pat","Northeastern","CAA","Away","L","67-58",-0.798757115319963,"Quadrant 3"
"22",2023-11-06,"Northeastern","CAA","Boston University","Pat","Home","W","67-58",0.0265772633030336,"Quadrant 4"
"23",2023-11-06,"Bradley","MVC","UAB","Amer","Away","W","73-71",0.377647580139739,"Quadrant 2"
"24",2023-11-06,"UAB","Amer","Bradley","MVC","Home","L","73-71",-0.690093525009645,"Quadrant 2"
